DROSG-2000 Analysis
Patrick Griffin
July 26, 2020

NEUTRONS FROM THE REACTION 3H(d,n)4He                          


 INCIDENT LAB ENERGY    0.100000 INT. CROSS SECT.= 4.93685E+03 mb
 Total energy= 4684.59400 MeV,Momentum of projectile=    11.6134,Q= 17.5892473

        LABORATORY SYSTEM          CENTER-OF-MASS
     ANGLE     CROSS    ENERGY     ANGLE     CROSS
              SECTION                       SECTION

       0.00   413.357  14.75923      0.00   394.084
      10.00   413.050  14.74848     10.24   394.077
      20.00   412.136  14.71660     20.47   394.054
      30.00   410.642  14.66469     30.69   394.012
      40.00   408.610  14.59453     40.89   393.943
      50.00   406.098  14.50850     51.06   393.841
      60.00   403.180  14.40946     61.20   393.701
      70.00   399.941  14.30069     71.30   393.517
      80.00   396.480  14.18566     81.36   393.289
      90.00   392.902  14.06800     91.38   393.020
     100.00   389.317  13.95132    101.36   392.718
     110.00   385.835  13.83913    111.30   392.394
     120.00   382.565  13.73468    121.20   392.064
     130.00   379.608  13.64097    131.06   391.743
     140.00   377.054  13.56060    140.89   391.450
     150.00   374.982  13.49576    150.69   391.201
     160.00   373.456  13.44818    160.47   391.011
     170.00   372.522  13.41913    170.24   390.893
     180.00   372.207  13.40937    180.00   390.853

